model,config,global_seed,fold_id,test_pid,window_ms,stride_ms,primary_score_tie_count
AttentionNet,Full_Preprocessing,45,46,48,1000,500,4
AttentionNet,Full_Preprocessing,45,47,49,1000,500,4
AttentionNet,Full_Preprocessing,45,48,50,1000,500,2
AttentionNet,Full_Preprocessing,45,49,51,2000,1000,1
AttentionNet,Full_Preprocessing,45,50,52,1000,500,4
AttentionNet,Full_Preprocessing,45,51,53,2000,500,1
AttentionNet,Full_Preprocessing,45,52,54,1000,500,4
AttentionNet,Full_Preprocessing,45,53,55,1000,500,4
AttentionNet,Full_Preprocessing,45,54,56,2000,500,2
AttentionNet,Full_Preprocessing,45,55,57,1500,750,2
AttentionNet,Full_Preprocessing,45,56,58,1000,500,4
AttentionNet,Full_Preprocessing,45,57,59,1500,750,1
AttentionNet,Full_Preprocessing,46,1,1,1000,500,4
AttentionNet,Full_Preprocessing,46,2,2,1000,500,4
AttentionNet,Full_Preprocessing,46,3,3,1000,500,1
AttentionNet,Full_Preprocessing,46,4,4,1000,500,1
AttentionNet,Full_Preprocessing,46,5,5,1500,750,1
AttentionNet,Full_Preprocessing,46,6,6,2000,1000,1
AttentionNet,Full_Preprocessing,46,7,7,1500,750,2
AttentionNet,Full_Preprocessing,46,8,8,2000,1000,1
AttentionNet,Full_Preprocessing,46,9,9,1000,500,4
AttentionNet,Full_Preprocessing,46,10,10,1000,500,3
AttentionNet,Full_Preprocessing,46,11,11,1500,750,1
AttentionNet,Full_Preprocessing,46,12,13,2000,500,2
AttentionNet,Full_Preprocessing,46,13,14,1000,500,3
AttentionNet,Full_Preprocessing,46,14,15,1000,500,4
AttentionNet,Full_Preprocessing,46,15,17,1000,500,4
AttentionNet,Full_Preprocessing,46,16,18,1000,500,4
AttentionNet,Full_Preprocessing,46,17,19,1000,500,4
AttentionNet,Full_Preprocessing,46,18,20,1000,500,4
AttentionNet,Full_Preprocessing,46,19,21,1500,750,1
AttentionNet,Full_Preprocessing,46,20,22,1000,500,4
AttentionNet,Full_Preprocessing,46,21,23,1000,500,4
AttentionNet,Full_Preprocessing,46,22,24,1000,500,4
AttentionNet,Full_Preprocessing,46,23,25,2000,1000,1
AttentionNet,Full_Preprocessing,46,24,26,1000,500,4
AttentionNet,Full_Preprocessing,46,25,27,1000,500,4
AttentionNet,Full_Preprocessing,46,26,28,1000,500,2
AttentionNet,Full_Preprocessing,46,27,29,1000,500,4
AttentionNet,Full_Preprocessing,46,28,30,1000,500,4
AttentionNet,Full_Preprocessing,46,29,31,1500,750,2
AttentionNet,Full_Preprocessing,46,30,32,1000,500,4
AttentionNet,Full_Preprocessing,46,31,33,1000,500,4
AttentionNet,Full_Preprocessing,46,32,34,1000,500,4
AttentionNet,Full_Preprocessing,46,33,35,1000,500,4
AttentionNet,Full_Preprocessing,46,34,36,2000,1000,1
AttentionNet,Full_Preprocessing,46,35,37,1000,500,4
AttentionNet,Full_Preprocessing,46,36,38,1000,500,4
AttentionNet,Full_Preprocessing,46,37,39,1500,750,1
AttentionNet,Full_Preprocessing,46,38,40,1000,500,4
AttentionNet,Full_Preprocessing,46,39,41,1000,500,1
AttentionNet,Full_Preprocessing,46,40,42,1000,500,4
AttentionNet,Full_Preprocessing,46,41,43,1500,750,1
AttentionNet,Full_Preprocessing,46,42,44,2000,500,1
AttentionNet,Full_Preprocessing,46,43,45,1000,500,4
AttentionNet,Full_Preprocessing,46,44,46,1000,500,4
AttentionNet,Full_Preprocessing,46,45,47,1000,500,4
AttentionNet,Full_Preprocessing,46,46,48,1000,500,2
AttentionNet,Full_Preprocessing,46,47,49,1000,500,4
AttentionNet,Full_Preprocessing,46,48,50,1500,750,3
AttentionNet,Full_Preprocessing,46,49,51,1000,500,4
AttentionNet,Full_Preprocessing,46,50,52,1000,500,4
AttentionNet,Full_Preprocessing,46,51,53,1000,500,4
AttentionNet,Full_Preprocessing,46,52,54,1000,500,4
AttentionNet,Full_Preprocessing,46,53,55,1000,500,3
AttentionNet,Full_Preprocessing,46,54,56,1000,500,4
AttentionNet,Full_Preprocessing,46,55,57,1000,500,4
AttentionNet,Full_Preprocessing,46,56,58,1500,750,1
AttentionNet,Full_Preprocessing,46,57,59,1000,500,4
